"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","10.54",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","2.16",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","3601",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","0.44",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","0.26",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","us","1.66",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","85.55",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","0.44",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","14.03",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","0.01",
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.0 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","14650","RayTracingFP16","127.0.0.1","rand_init(curandStateXORWOW *)","1","7","(1, 1, 1)","(1, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.02",
